Companies,Primary Industry Code,HQaddress,Latitude,Longitude
Zymergen ,Biotechnology,"5980 Horton Street, Emeryville, CA",37.84229,-122.291745
ZoomInfo Technologies ,Media and Information Services (B2B),"307 Waverley Oaks Road, Waltham, MA",42.384489,-71.205154
Zoom Video Communications ,Communication Software,"55 Almaden Boulevard, San Jose, CA",37.332849,-121.894777
ZipRecruiter ,Media and Information Services (B2B),"604 Arizona Avenue, Santa Monica, CA",34.019282,-118.494288
Zevia ,Beverages,"15821 Ventura Boulevard, Los Angeles, CA",34.155842,-118.478118
Zeta Global ,Business/Productivity Software,"3 Park Avenue, New York, NY",40.746643,-73.981288
Zentalis Pharmaceuticals ,Drug Discovery,"530 Seventh Avenue, New York, NY",40.754005,-73.988655
Xponential Fitness ,Leisure Facilities,"17877 Von Karman Avenue, Irvine, CA",33.685538,-117.847993
Xometry ,BPO/Outsource Services,"7940 Cessna Avenue, Gaithersburg, MD",39.172629,-77.162609
Wish ,Other Services (B2C Non-Financial),"1 Sansome Street, San Francisco, CA",37.790485,-122.40094
Werewolf Therapeutics ,Drug Discovery,"1030 Massachusetts Avenue, Cambridge, MA",42.369599,-71.112205
Warner Music Group ,"Movies, Music and Entertainment","1633 Broadway, New York, NY",40.761997,-73.984228
VTEX ,Business/Productivity Software,"12 East 49th Street, New York, NY",40.757368,-73.976869
Vroom ,Automotive,"1375 Broadway, New York, NY",40.752465,-73.987626
Vor Biopharma ,Drug Discovery,"100 Cambridgepark Drive, Cambridge, MA",42.394465,-71.144639
Vontier ,Other Commercial Services,"Fortive Corporation, Everett, WA",47.988661,-122.199795
Vizio ,Electronics (B2C),"39 Tesla, Irvine, CA",33.634065,-117.736653
Vital Farms ,Animal Husbandry,"3601 South Congress Avenue, Austin, TX",30.22684,-97.760251
Virios Therapeutics ,Drug Discovery,"44 Milton Avenue, Alpharetta, GA",34.075411,-84.295958
Vir ,Drug Discovery,"499 Illinois Street, San Francisco, CA",37.765982,-122.387785
Vine Oil & Gas ,Energy Exploration,"500 Granite Parkway, Plano, TX",33.51284,-96.38554
Vimeo ,Multimedia and Design Software,"555 West 18th Street, New York, NY",40.745379,-74.007733
Viatris ,Pharmaceuticals,"Robert J. Coury Global Center, Canonsburg, PA",40.231948,-80.126627
Verve Therapeutics ,Drug Discovery,"500 Technology Square, Cambridge, MA",42.363465,-71.092452
Vera Therapeutics ,Drug Discovery,"170 Harbor Way, South San Francisco, CA",37.65306,-122.40089
Velocity Financial ,Thrifts and Mortgage Finance,"30699 Russell Ranch Road, Westlake Village, CA",34.149691,-118.795073
